GeneID	WT1	WT2	ddm1	ddm2
AT5G18510	0.000000	0.0	0.000000	0.0
AT5G18520	33.221954	40.067982	38.383503	36.404091
AT5G18525	2.806466	3.561885	2.801326	2.774804
AT5G18540	3.485762	3.459494	4.646420	3.969268
AT5G18550	5.523051	6.246619	4.940163	4.173902
AT5G18560	0.106445	0.145641	0.119474	0.186000
AT5G18570	16.727617	17.891499	17.119883	15.634029
AT5G18580	27.658716	33.718174	29.992275	28.944500
AT5G18590	17.607307	15.204264	15.320789	14.640707
AT5G18600	50.269863	65.655952	32.416481	36.430061
AT5G18610	17.402561	17.967302	15.022814	13.142452
AT5G18620	9.121281	9.957416	9.456295	8.458652
AT5G18630	78.402802	62.818710	36.108669	39.425293
AT5G18633	0.051585	0.119816	0.069407	0.175681
AT5G18636	0.329334	0.180406	0.458172	0.181943
AT5G18640	20.207911	17.113831	11.730147	13.243331
AT5G18650	92.588058	83.950943	47.043526	54.542282
AT5G18660	28.660133	27.964285	36.952400	31.520979
AT5G18661	0.928057	1.794866	1.273917	2.966617
AT5G18670	77.498322	82.330711	47.552296	55.259621
AT5G18680	18.571278	19.968939	19.630045	19.149754
AT5G18690	5.950562	8.771315	9.661991	9.816718
AT5G18700	1.724288	1.650015	4.461172	4.131381
AT5G18710	0.060449	0.085305	0.109342	0.113092
AT5G18720	0.000000	0.000000	0.014508	0.0
AT5G18730	0.134734	0.150087	0.052348	0.088916
AT5G18740	0.071251	0.077990	0.059779	0.045472
AT5G18748	0.000000	0.000000	0.000000	0.000000
AT5G18750	2.215459	2.013743	1.687333	1.692471
AT5G18755	0.000000	0.000000	0.0	0.0
AT5G18760	8.612335	7.085658	6.250625	5.321878
AT5G18770	4.534809	4.386209	4.122201	4.228470
AT5G18780	4.522676	4.817038	3.388745	3.842227
AT5G18790	22.635403	18.106804	20.636597	18.447163
AT5G18800	83.415291	91.030273	98.865921	113.815750
AT5G18810	1.267264	1.510704	0.961786	0.721113
AT5G18820	3.445027	3.406106	2.685112	2.850922
AT5G18830	13.399486	14.855990	14.569653	14.904409
AT5G18840	6.398178	5.574559	9.369699	6.244682
AT5G18850	42.242645	38.910450	19.195002	24.119261
AT5G18860	14.150468	20.119400	15.099775	15.772534
AT5G18870	0.000000	0.000000	0.0	0.0
AT5G18880	0.056139	0.000000	0.0	0.000000
AT5G18890	0.000000	0.000000	0.0	0.024157
AT5G18900	19.648064	20.183903	20.623236	19.460505
AT5G18910	0.115550	0.047449	0.000000	0.109555
AT5G18920	5.248388	6.049017	2.793820	4.526394
AT5G18930	4.096735	3.171026	3.391870	2.561480
AT5G18940	13.785781	14.378926	12.190019	13.499339
AT5G18950	3.828226	3.541349	3.784965	3.711666
AT5G18960	5.776447	8.069390	6.220956	6.827760
AT5G18970	7.498636	8.427498	8.046102	8.387815
AT5G18980	9.601375	6.959510	5.776569	5.947264
AT5G18990	0.000000	0.000000	0.0	0.000000
AT5G19000	27.007000	33.262280	35.519547	36.432121
