GeneID	WT1	WT2	ddm1	ddm2
AT1G02820	65.2357	57.1558	114.47	80.1849
AT1G02830	0	0	0	0
AT1G02840	30.781	28.4659	27.494	28.2464
AT1G02850	33.3614	40.8436	43.5523	47.6657
AT1G02860	7.27994	9.07482	6.53801	7.6861
AT1G02870	16.6992	19.58	15.5951	19.0251
AT1G02880	10.2647	10.608	8.97778	6.54886
AT1G02890	23.9665	28.6579	25.1698	26.4277
AT1G02900	46.4525	56.2296	34.3145	46.6432
AT1G02910	15.489	17.0545	16.9651	13.796
AT1G02920	52.8902	44.8117	46.8777	49.5813
AT1G02930	47.8103	43.7744	71.6346	68.968
AT1G02940	0.235116	0	0.195717	0.178081
AT1G02950	3.1016	4.10868	2.06543	3.08407
AT1G02952	1.6684	2.27632	1.51508	1.83807
AT1G02960	1.26215	1.31454	1.04888	1.22447
AT1G02965	0	0	0	0
AT1G02970	1.53823	1.82257	1.90385	1.75784
AT1G02980	0.0472664	0.0871167	0.0393459	0.0159113
AT1G02990	1.91903	1.96048	1.939	1.9674
AT1G03000	3.87062	4.72757	3.73177	3.74554
AT1G03010	0.547097	0.390331	0.30851	0.302988
AT1G03020	18.1452	25.7993	24.1674	29.3194
AT1G03022	0	0	0	0
AT1G03030	7.05696	6.08315	7.70255	8.45746
AT1G03040	10.2724	10.5488	8.75357	8.90102
AT1G03050	0	0	0	0
AT1G03055	8.81873	11.4624	8.00125	7.77501
AT1G03060	2.91106	2.9166	2.95561	3.18356
AT1G03070	5.44616	6.43595	4.26168	2.4402
AT1G03080	9.89399	11.7396	12.3062	14.8136
AT1G03090	9.79108	13.9718	8.20834	8.91754
AT1G03100	0.517688	0.34261	0.232939	0.522806
AT1G03103	0	0	0	0
AT1G03106	0.823812	2.85598	0.228588	0.0462198
AT1G03110	7.88905	8.26992	9.12434	8.24007
AT1G03120	4.7185	4.48779	2.00399	0.875233
AT1G03130	760.999	1010.7	654.302	785.269
AT1G03140	29.6413	35.6851	28.491	31.7593
AT1G03150	14.7124	14.6487	15.4374	16.6058
AT1G03160	8.87124	8.60852	11.0301	8.16289
AT1G03170	0.550477	0.559057	0.392771	0.158834
AT1G03180	2.21086	1.71676	1.65818	2.04629
AT1G03190	2.57877	2.74935	2.51028	2.70388
AT1G03200	1.26223	0.553907	0.466984	0.424903
AT1G03210	8.1726	6.33525	3.80298	3.94728
AT1G03220	187.074	186.673	120.393	123.302
AT1G03230	31.2322	28.0668	23.0193	23.2982
AT1G03240	0	0	0	0
AT1G03250	14.7965	17.6409	17.2957	19.9354
AT1G03260	3.13958	3.2988	3.37779	3.49965
AT1G03270	1.49568	3.03506	1.67437	1.87506
AT1G03280	6.48263	7.59534	7.18416	8.93459
AT1G03290	9.03341	11.2684	9.61149	8.83848
AT1G03300	1.10916	1.88367	1.29261	1.32548
AT1G03310	3.37284	3.77834	5.33965	4.76081
AT1G03320	0	0	0.060372	0
AT1G03330	37.5894	51.1668	39.578	44.9217
AT1G03340	1.25201	0.916598	0.482974	0.308387
AT1G03350	31.4077	37.4346	26.5391	30.4999
AT1G03360	9.17048	8.68754	6.40082	8.72012
AT1G03365	4.81777	5.61294	5.60827	5.73835
AT1G03370	5.31338	5.05721	4.93876	4.96774
AT1G03380	3.86079	4.48829	3.52179	3.91812
AT1G03390	0	0	0	0
AT1G03400	16.2156	15.2119	7.40924	8.00817
AT1G03410	0.136661	0.215898	0.125137	0.0828077
AT1G03420	0.650863	0.84678	0.956111	0.889286
AT1G03430	5.89515	6.45498	6.05796	5.09122
AT1G03440	13.9382	14.8001	17.8033	12.5992
AT1G03445	0.0530414	0.188538	0.0110383	0.0267829
AT1G03457	7.17684	7.4704	11.3132	10.9312
AT1G03470	2.26999	2.6896	4.06551	2.01456
AT1G03475	72.3421	65.5458	100.783	77.2352
AT1G03490	0	0	0	0
AT1G03495	0.0863887	0.153536	0.37754	0.174486
AT1G03502	0	5.89567	0	0
AT1G03506	0	0	0	0
AT1G03510	0.215328	0.267281	0.665768	0.217457
AT1G03515	0	0	0	0
AT1G03520	7.12565	9.71969	5.58399	5.70658
AT1G03530	2.80527	2.49149	1.81238	2.53702
AT1G03540	0.390696	0.503522	0.393695	0.456857
AT1G03545	0	0	0	0.0662045
AT1G03550	0.443696	0.400544	0.263818	0.512095
AT1G03560	1.4677	1.12069	1.14031	1.39987
